epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,61.2153,1.6047,1.50143,1.70095,0.67469,0.57609,0.70299,0.28238,1.91054,1.90363,1.9319,0.000742815,0.000742815,0.000742815
16,68.7948,1.44079,1.30878,1.61158,0.53462,0.82971,0.71463,0.2566,2.07864,1.77261,1.97582,0.000676802,0.000676802,0.000676802
17,72.0188,1.48318,1.18211,1.62194,0.62696,0.77369,0.78609,0.3252,1.87435,1.51908,1.81391,0.000610789,0.000610789,0.000610789
18,79.6039,1.38393,1.07812,1.54344,0.65236,0.88134,0.81466,0.35103,1.84,1.39377,1.80372,0.000544776,0.000544776,0.000544776
19,87.7648,1.42596,1.09229,1.57104,0.70323,0.78315,0.82597,0.38364,1.88897,1.43886,1.8826,0.000478762,0.000478762,0.000478762
20,96.3497,1.39492,1.09937,1.52561,0.92714,0.72651,0.87121,0.40109,1.92763,1.36225,1.90704,0.000412749,0.000412749,0.000412749
21,99.6376,1.26373,0.97459,1.48905,0.69369,0.85402,0.87464,0.43129,1.84023,1.35028,1.85278,0.000346736,0.000346736,0.000346736
22,105.9,1.29814,0.91904,1.495,0.81848,0.77506,0.87904,0.43834,1.81175,1.19618,1.84047,0.000280723,0.000280723,0.000280723
23,114.005,1.27947,0.93838,1.54559,0.80139,0.82971,0.88104,0.41905,1.8294,1.2269,1.84666,0.00021471,0.00021471,0.00021471
24,119.05,1.39385,1.00245,1.55623,0.76619,0.83727,0.88805,0.41593,1.86208,1.254,1.86068,0.000148696,0.000148696,0.000148696
25,123.776,1.29162,0.97127,1.43293,0.82966,0.83569,0.89274,0.40866,1.87315,1.19533,1.86904,8.26832e-05,8.26832e-05,8.26832e-05
